id,global_crt,topic_id,local_cluster,mapping_reason,is_correct,error_type,notes
23,Cyber-Physical Systems,87,Cyber-Physical Systems in Healthcare,"The cluster pertains to the integration of computation, networking, and physical processes, which is the essence of Cyber-Physical Systems.",Y,,CPS clear match
24,Optimization Algorithms,102,Optimization Algorithms for Geophysical Data Analysis,"Various optimization algorithms are applied to enhance data analysis efficiency, relevant in multiple fields.",Y,,OptimizationExplicit match
25,Tensor Decomposition,74,Tensor Decomposition and Factorization Techniques,"Cluster encompasses methods for decomposing tensors, which is the essence of tensor decomposition techniques.",Y,,Tensor Decomposition explicitly matches
26,Magnetic Actuation Systems,22,Magnetic Actuation and Control Systems for Miniature Robotics,"Encompasses technologies for remote actuation using dynamic magnetic fields, applicable in various fields requiring precise control of miniature devices.",Y,,Magnetic Actuation explicitly matches
27,Residual Learning Techniques,115,Residual and Dense Network Structures for Image Analysis,This cluster focuses on residual learning technology and is suitable for deep feature learning.,Y,,Residual LearningExplicit Match
28,Sparse Representation,114,Adaptive Sparse Representation Techniques for Multi-Focus Image Fusion,"This cluster explores adaptive sparse representation methods for image fusion, utilizing dictionary learning and transform domain techniques.",Y,,Sparse Representation explicitly matches
29,Feature Fusion Techniques,113,Feature Fusion and Representation Learning Techniques,"This cluster involves feature fusion and representation learning, and the core technology is feature fusion.",Y,,Feature Fusion Explicit Match
30,Model Predictive Control,52,Model Predictive Control with Uncertainty Handling,"This cluster covers advanced MPC strategies that incorporate uncertainty handling, directly relating to the core concepts of Model Predictive Control, including predictive modeling and system optimiza...",Y,,MPC clear match
31,Convolutional Neural Networks,104,Advanced CNN Architectures for Image Recognition,Advanced architectures of CNNs are utilized for image recognition tasks.,Y,,CNN unambiguous matching
32,Optimization Techniques,70,Loss Functions and Optimization in Predictive Modeling,"Specialized loss functions designed for predictive modeling tasks incorporate real-world weights, which is a part of optimization techniques in predictive modeling.",Y,,OptimizationExplicit match
33,Piezoelectric and Haptic Feedback,79,Piezoelectric and Haptic Feedback Mechanisms in Wearables,The cluster encompasses the use of piezoelectric materials and haptic feedback mechanisms in wearable devices to enhance user interaction and experience.,Y,,Piezoelectric/Haptic clear match
34,Machine Learning Algorithms,31,Machine Learning-Based Immunotherapy Response Predictors,Predicting immunotherapy response using machine learning aligns with the application of machine learning algorithms.,Y,,ML Algorithms Generalized Matching
35,Adaptive Control,98,Robust and Adaptive Control Strategies,"Implements adaptive control strategies for handling system uncertainties, relevant across various control systems.",Y,,Adaptive Control explicitly matches
36,Pooling Techniques,116,Advanced Pooling and Attention Mechanisms in CNNs,"This cluster involves advanced pooling and attention mechanisms in convolutional neural networks, and is an application of pooling technology.",Y,,PoolingExplicit matching
37,Autoencoder Neural Networks,19,Autoencoder-Based Neural Networks for Environmental Data Compression,"Utilizes autoencoder neural networks for the compression and feature extraction of environmental data, focusing on dimensionality reduction while preserving essential information.",Y,,Autoencoder explicitly matches
38,Ensemble Learning Techniques,104,Ensemble and Random Forest Algorithms for Spatial Predictions,Ensemble methods and random forest algorithms are tailored for spatial predictions.,Y,,Ensemble Learning Explicit Match
39,Nanoparticle Delivery Systems,86,Nanomedicine-Based Therapeutic Delivery Systems,"The cluster focuses on the application of nanotechnology in medicine for targeted therapeutic delivery, which can be generalized to nanoparticle delivery systems.",Y,,Nanoparticle unambiguous match
40,Model-Based Reinforcement Learning,18,Model-Based Reinforcement Learning Algorithms for Strategic Game Playing,"This cluster focuses on model-based reinforcement learning approaches that utilize deep neural networks and Monte Carlo Tree Search (MCTS) for strategic decision-making, which is a specific applicatio...",Y,,Model-Based RL Explicit Match
41,Convolutional Neural Networks,95,Pyramidal CNN Architectures for Signal Processing,"This cluster describes the pyramid CNN architecture for signal processing, capturing hierarchical features of time series data.",Y,,CNN unambiguous matching
42,Diffusion Models,116,Diffusion Models for Image Denoising and Generation,"This cluster involves diffusion models, which are applications of image denoising and generation techniques.",Y,,Diffusion Models Explicit Match
43,Computational Modeling,125,Electrochemical and Thermal Modeling Techniques for Batteries,This cluster focuses on electrochemical and thermal modeling technology of batteries and belongs to the category of computational modeling.,Y,,Computational ModelingMatching
44,Multi-objective Optimization,122,Multi-Criteria Decision-Making Frameworks in Healthcare,Multi-objective optimization techniques are used to prioritize treatment options and evaluate healthcare policies.,Y,,Multi-objective Optimization matching
45,Generative Adversarial Networks,120,GAN-Based Medical Image Synthesis and Anomaly Detection Networks,GANs are employed for generating synthetic data and detecting anomalies.,Y,,GAN unambiguous matching
46,Attention Mechanisms,7,Human-Robot Interaction and Teleoperation Systems,Focuses on enhancing interaction through attention-based models for better usability and effectiveness.,N,wrong_mapping,HRI does not necessarily focus on the Attention mechanism
47,Thermal Property Prediction,36,Optical and Thermal Properties of Materials,Dedicated to the study and prediction of optical and thermal properties of materials.,Y,,Thermal Property matching
48,Radiolabeling,33,Peptide Receptor Radionuclide Therapy for Neuroendocrine Tumors,Radiolabeling techniques are used to target specific receptors on tumor cells with radiolabeled peptides.,Y,,Radiolabeling explicit matching
49,Decentralized Learning,98,Decentralized Multi-Agent Reinforcement Learning Algorithms,"Focuses on decentralized learning for multi-agent coordination, applicable in distributed and privacy-preserving systems.",Y,,Decentralized LearningMatching
50,Molecular Genetic Techniques,26,Plant Molecular Biology and Genetics,The cluster's focus on molecular and genetic approaches to study plant development and responses to environmental cues is encapsulated by Molecular Genetic Techniques.,Y,,Molecular Genetic Match
