paper_id,year,category,title,abstract,keywords,group_num,group_name,topic_id,topic_name,r1_terms,r1_term_count,annot_missing_terms,annot_important_terms,model_r2_terms,model_additional_terms,combined_important_terms
2560,2016,ENGINEERING,Deep Sentence Embedding Using Long Short-Term Memory Networks: Analysis and Application to Information Retrieval,"This paper develops a model that addresses sentence embedding, a hot topic in current natural language processing research, using recurrent neural networks (RNN) with Long Short-Term Memory (LSTM) cells. The proposed LSTM-RNN model sequentially takes each word in a sentence, extracts its information, and embeds it into a semantic vector. Due to its ability to capture long term memory, the LSTM-RNN accumulates increasingly richer information as it goes through the sentence, and when it reaches the last word, the hidden layer of the network provides a semantic representation of the whole sentence. In this paper, the LSTM-RNN is trained in a weakly supervised manner on user click-through data logged by a commercial web search engine. Visualization and analysis are performed to understand how the embedding process works. The model is found to automatically attenuate the unimportant words and detect the salient keywords in the sentence. Furthermore, these detected keywords are found to automatically activate different cells of the LSTM-RNN, where words belonging to a similar topic activate the same cell. As a semantic representation of the sentence, the embedding vector can be used in many different applications. These automatic keyword detection and topic allocation abilities enabled by the LSTM-RNN allow the network to perform document retrieval, a difficult language processing task, where the similarity between the query and documents can be measured by the distance between their corresponding sentence embedding vectors computed by the LSTM-RNN. On a web search task, the LSTM-RNN embedding is shown to significantly outperform several existing state of the art methods. We emphasize that the proposed model generates sentence embedding vectors that are specially useful for web document retrieval tasks. A comparison with a well known general sentence embedding method, the Paragraph Vector, is performed. The results show that the proposed method in this paper significantly outperforms Paragraph Vector method for web document retrieval task.",Deep learning; long short-term memory; sentence embedding,16,AI Fundamental Research,69,Natural Language Processing and Knowledge Graphs,Long Short-Term Memory Networks; LSTM-RNN model; semantic vector; weakly supervised manner; user click-through data; automatic keyword detection; topic allocation abilities; document retrieval; sentence embedding vectors; Paragraph Vector,10,,sentence embedding;LSTM-RNN model,long short-term memory networks,long short-term memory networks,sentence embedding; lstm-rnn model; long short-term memory networks
2726,2017,Multidisciplinary,Semantics derived automatically from language corpora contain human-like biases,"Machine learning is a means to derive artificial intelligence by discovering patterns in existing data. Here, we show that applying machine learning to ordinary human language results in human-like semantic biases. We replicated a spectrum of known biases, as measured by the Implicit Association Test, using a widely used, purely statistical machine-learning model trained on a standard corpus of text from the World Wide Web. Our results indicate that text corpora contain recoverable and accurate imprints of our historic biases, whether morally neutral as toward insects or flowers, problematic as toward race or gender, or even simply veridical, reflecting the status quo distribution of gender with respect to careers or first names. Our methods hold promise for identifying and addressing sources of bias in culture, including technology.",IMPLICIT; STEREOTYPES; ATTITUDES,16,AI Fundamental Research,69,Natural Language Processing and Knowledge Graphs,machine learning; Implicit Association Test; statistical machine-learning model; text corpora,4,,statistical machine-learning model,machine learning; text corpora,machine learning; text corpora,statistical machine-learning model; machine learning; text corpora
2781,2024,COMPUTER SCIENCE,Recent Advances in Natural Language Processing via Large Pre-trained Language Models: A Survey,"Large, pre-trained language models (PLMs) such as BERT and GPT have drastically changed the Natural Language Processing (NLP) field. For numerous NLP tasks, approaches leveraging PLMs have achieved state-of-the-art performance. The key idea is to learn a generic, latent representation of language from a generic task once, then share it across disparate NLP tasks. Language modeling serves as the generic task, one with abundant self-supervised text available for extensive training. This article presents the key fundamental concepts of PLM architectures and a comprehensive view of the shift to PLM-driven NLP techniques. It surveys work applying the pre-training then fine-tuning, prompting, and text generation approaches. In addition, it discusses PLM limitations and suggested directions for future research.",Large language models; foundational models; generative AI; neural networks,16,AI Fundamental Research,69,Natural Language Processing and Knowledge Graphs,large pre-trained language models; BERT; GPT; pre-training then fine-tuning; prompting; text generation; self-supervised text; latent representation of language; PLM-driven NLP techniques,9,,large pre-trained language models;pre-training then fine-tuning; prompting; text generation,bert; text generation; self-supervised text,bert,pre-training then fine-tuning; text generation; prompting; large pre-trained language models; bert
3046,2021,COMPUTER SCIENCE,Attention in Natural Language Processing,"Attention is an increasingly popular mechanism used in a wide range of neural architectures. The mechanism itself has been realized in a variety of formats. However, because of the fast-paced advances in this domain, a systematic overview of attention is still missing. In this article, we define a unified model for attention architectures in natural language processing, with a focus on those designed to work with vector representations of the textual data. We propose a taxonomy of attention models according to four dimensions: the representation of the input, the compatibility function, the distribution function, and the multiplicity of the input and/or output. We present the examples of how prior information can be exploited in attention models and discuss ongoing research efforts and open challenges in the area, providing the first extensive categorization of the vast body of literature in this exciting domain.",Task analysis; Computer architecture; Visualization; Neural networks; Natural language processing; Taxonomy; Computational modeling; Natural language processing (NLP); neural attention; neural networks; review; survey; NETWORK,16,AI Fundamental Research,69,Natural Language Processing and Knowledge Graphs,attention mechanism; neural architectures; vector representations; attention models; compatibility function; distribution function; multiplicity of input; multiplicity of output,8,,attention mechanism,,,attention mechanism
3565,2019,ENGINEERING,Sentiment Analysis of Comment Texts Based on BiLSTM,"With the rapid development of Internet technology and social networks, a large number of comment texts are generated on the Web. In the era of big data, mining the emotional tendency of comments through artificial intelligence technology is helpful for the timely understanding of network public opinion. The technology of sentiment analysis is a part of artificial intelligence, and its research is very meaningful for obtaining the sentiment trend of the comments. The essence of sentiment analysis is the text classification task, and different words have different contributions to classification. In the current sentiment analysis studies, distributed word representation is mostly used. However, distributed word representation only considers the semantic information of word, but ignore the sentiment information of the word. In this paper, an improved word representation method is proposed, which integrates the contribution of sentiment information into the traditional TF-IDF algorithm and generates weighted word vectors. The weighted word vectors are input into bidirectional long short term memory (BiLSTM) to capture the context information effectively, and the comment vectors are better represented. The sentiment tendency of the comment is obtained by feedforward neural network classifier. Under the same conditions, the proposed sentiment analysis method is compared with the sentiment analysis methods of RNN, CNN, LSTM, and NB. The experimental results show that the proposed sentiment analysis method has higher precision, recall, and F-1 score. The method is proved to be effective with high accuracy on comments.",Sentiment analysis; artificial intelligence; social network; weighted word vectors; BiLSTM,16,AI Fundamental Research,69,Natural Language Processing and Knowledge Graphs,BiLSTM; TF-IDF algorithm; weighted word vectors; bidirectional long short term memory; feedforward neural network classifier; sentiment analysis method; distributed word representation,7,,weighted word vectors,bilstm; tf-idf algorithm; bidirectional long short term memory,bilstm; tf-idf algorithm; bidirectional long short term memory,weighted word vectors; bilstm; tf-idf algorithm; bidirectional long short term memory
4547,2023,COMPUTER SCIENCE,"Pre-train, Prompt, and Predict: A Systematic Survey of Prompting Methods in Natural Language Processing","This article surveys and organizes research works in a new paradigm in natural language processing, which we dub ""prompt-based learning."" Unlike traditional supervised learning, which trains a model to take in an input x and predict an output y as P (y|x), prompt-based learning is based on language models that model the probability of text directly. To use these models to perform prediction tasks, the original input x is modified using a template into a textual string prompt x' that has some unfilled slots, and then the language model is used to probabilistically fill the unfilled information to obtain a final string (x) over cap, from which the final output y can be derived. This framework is powerful and attractive for a number of reasons: It allows the language model to be pre-trained on massive amounts of raw text, and by defining a new prompting function the model is able to perform few-shot or even zero-shot learning, adapting to new scenarios with few or no labeled data. In this article, we introduce the basics of this promising paradigm, describe a unified set of mathematical notations that can cover a wide variety of existing work, and organize existing work along several dimensions, e.g., the choice of pre-trained language models, prompts, and tuning strategies. To make the field more accessible to interested beginners, we not only make a systematic review of existing works and a highly structured typology of prompt-based concepts but also release other resources, e.g., a website NLPedia-Pretrain including constantly updated survey and paperlist.",Pre-trained language models; prompting; NETWORKS; MODELS,16,AI Fundamental Research,69,Natural Language Processing and Knowledge Graphs,prompt-based learning; language models; pre-trained language models; few-shot learning; zero-shot learning; prompting function; tuning strategies; textual string prompt; unified set of mathematical notations; NLPedia-Pretrain,10,,prompt-based learning;natural language processing; pre-trained language models;,prompt-based learning; few-shot learning; zero-shot learning,,natural language processing; prompt-based learning; pre-trained language models
5203,2018,Multidisciplinary,Word embeddings quantify 100 years of gender and ethnic stereotypes,"Word embeddings are a powerful machine-learning framework that represents each English word by a vector. The geometric relationship between these vectors captures meaningful semantic relationships between the corresponding words. In this paper, we develop a framework to demonstrate how the temporal dynamics of the embedding helps to quantify changes in stereotypes and attitudes toward women and ethnic minorities in the 20th and 21st centuries in the United States. We integrate word embeddings trained on 100 y of text data with the US Census to show that changes in the embedding track closely with demographic and occupation shifts over time. The embedding captures societal shifts-e.g., the women's movement in the 1960s and Asian immigration into the United States-and also illuminates how specific adjectives and occupations became more closely associated with certain populations over time. Our framework for temporal analysis of word embedding opens up a fruitful intersection between machine learning and quantitative social science.",word embedding; gender stereotypes; ethnic stereotypes; RACIAL STEREOTYPES; MODEL,16,AI Fundamental Research,69,Natural Language Processing and Knowledge Graphs,word embeddings; temporal dynamics of the embedding; embedding trained on text data; temporal analysis of word embedding,4,,word embeddings,,,word embeddings
5318,2023,COMPUTER SCIENCE,Hierarchical graph-based text classification framework with contextual node embedding and BERT-based dynamic fusion,"We propose a novel hierarchical graph-based text classification framework that leverages the power of contextual node embedding and BERT-based dynamic fusion to capture the complex relationships between the nodes in the hierarchical graph and generate a more accurate classification of text. The framework consists of seven stages: Linguistic Feature Extraction, Hierarchical Node Construction with Domain-Specific Knowledge, Contextual Node Embedding, Multi-Level Graph Learning, Dynamic Text Sequential Feature Interaction, Attention-Based Graph Learning, and Dynamic Fusion with BERT. The first stage, Linguistic Feature Extraction, extracts the linguistic features of the text, including part-of-speech tags, dependency parsing, and named entities. The second stage constructs a hierarchical graph based on the domain-specific knowledge, which is used to capture the relationships between nodes in the graph. The third stage, Contextual Node Embedding, generates a vector representation for each node in the hierarchical graph, which captures its local context information, linguistic features, and domainspecific knowledge. The fourth stage, Multi-Level Graph Learning, uses a graph convolutional neural network to learn the hierarchical structure of the graph and extract the features of the nodes in the graph. The fifth stage, Dynamic Text Sequential Feature Interaction, captures the sequential information of the text and generates dynamic features for each node. The sixth stage, Attention-Based Graph earning, uses an attention mechanism to capture the important features of the nodes in the graph. Finally, the seventh stage, Dynamic Fusion with BERT, combines the output from the previous stages with the output from a pre-trained BERT model to obtain the final integrated vector representation of the text. This approach leverages the strengths of both the proposed framework and BERT, allowing for better performance on the classification task. The proposed framework was evaluated on several benchmark datasets and compared to state-of-the-art methods, demonstrating significant improvements in classification accuracy.(c) 2023 The Author(s). Published by Elsevier B.V. on behalf of King Saud University. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/).",Text classification; Hierarchical graph; Pre-trained language models; Contextual embedding; Attention mechanism,16,AI Fundamental Research,69,Natural Language Processing and Knowledge Graphs,hierarchical graph-based text classification framework; contextual node embedding; BERT-based dynamic fusion; linguistic feature extraction; hierarchical node construction; multi-level graph learning; dynamic text sequential feature interaction; attention-based graph learning; graph convolutional neural network; pre-trained BERT model,10,,hierarchical graph-based text classification; contextual node embedding; BERT-based dynamic fusion;,bert-based dynamic fusion; hierarchical node construction; multi-level graph learning; dynamic text sequential feature interaction; attention-based graph learning; graph convolutional neural network,hierarchical node construction; multi-level graph learning; dynamic text sequential feature interaction; attention-based graph learning; graph convolutional neural network,bert-based dynamic fusion; hierarchical graph-based text classification; contextual node embedding; hierarchical node construction; multi-level graph learning; dynamic text sequential feature interaction; attention-based graph learning; graph convolutional neural network
5854,2016,COMPUTER SCIENCE,Aspect extraction for opinion mining with a deep convolutional neural network,"In this paper, we present the first deep learning approach to aspect extraction in opinion mining. Aspect extraction is a subtask of sentiment analysis that consists in identifying opinion targets in opinionated text, i.e., in detecting the specific aspects of a product or service the opinion holder is either praising or complaining about. We used a 7-layer deep convolutional neural network to tag each word in opinionated sentences as either aspect or non-aspect word. We also developed a set of linguistic patterns for the same purpose and combined them with the neural network. The resulting ensemble classifier, coupled with a word-embedding model for sentiment analysis, allowed our approach to obtain significantly better accuracy than state-of-the-art methods. (C) 2016 Elsevier B.V. All rights reserved.",Sentiment analysis; Aspect extraction; Opinion mining; CNN; RBM; DNN,16,AI Fundamental Research,69,Natural Language Processing and Knowledge Graphs,deep convolutional neural network; aspect extraction; opinion mining; sentiment analysis; ensemble classifier; word-embedding model,6,,aspect extraction; opinion mining;,deep convolutional neural network; ensemble classifier,deep convolutional neural network; ensemble classifier,opinion mining; aspect extraction; deep convolutional neural network; ensemble classifier
6274,2016,"SOCIAL SCIENCES, GENERAL",SentiBench - a benchmark comparison of state-of-the-practice sentiment analysis methods,"In the last few years thousands of scientific papers have investigated sentiment analysis, several startups that measure opinions on real data have emerged and a number of innovative products related to this theme have been developed. There are multiple methods for measuring sentiments, including lexical-based and supervised machine learning methods. Despite the vast interest on the theme and wide popularity of some methods, it is unclear which one is better for identifying the polarity (i.e., positive or negative) of a message. Accordingly, there is a strong need to conduct a thorough apple-to-apple comparison of sentiment analysis methods, as they are used in practice, across multiple datasets originated from different data sources. Such a comparison is key for understanding the potential limitations, advantages, and disadvantages of popular methods. This article aims at filling this gap by presenting a benchmark comparison of twenty-four popular sentiment analysis methods (which we call the state-of-the-practice methods). Our evaluation is based on a benchmark of eighteen labeled datasets, covering messages posted on social networks, movie and product reviews, as well as opinions and comments in news articles. Our results highlight the extent to which the prediction performance of these methods varies considerably across datasets. Aiming at boosting the development of this research area, we open the methods' codes and datasets used in this article, deploying them in a benchmark system, which provides an open API for accessing and comparing sentence-level sentiment analysis methods.",sentiment analysis; benchmark; methods evaluation; EMOTIONS; NORMS,16,AI Fundamental Research,69,Natural Language Processing and Knowledge Graphs,sentiment analysis; lexical-based methods; supervised machine learning methods; sentence-level sentiment analysis; benchmark comparison; state-of-the-practice methods; prediction performance,7,,,prediction performance,prediction performance,prediction performance
6600,2019,Multidisciplinary,Unsupervised word embeddings capture latent knowledge from materials science literature,"The overwhelming majority of scientific knowledge is published as text, which is difficult to analyse by either traditional statistical analysis or modern machine learning methods. By contrast, the main source of machine-interpretable data for the materials research community has come from structured property databases(1,2), which encompass only a small fraction of the knowledge present in the research literature. Beyond property values, publications contain valuable knowledge regarding the connections and relationships between data items as interpreted by the authors. To improve the identification and use of this knowledge, several studies have focused on the retrieval of information from scientific literature using supervised natural language processing(3-10), which requires large hand-labelled datasets for training. Here we show that materials science knowledge present in the published literature can be efficiently encoded as information-dense word embeddings(11-13) (vector representations of words) without human labelling or supervision. Without any explicit insertion of chemical knowledge, these embeddings capture complex materials science concepts such as the underlying structure of the periodic table and structure-property relationships in materials. Furthermore, we demonstrate that an unsupervised method can recommend materials for functional applications several years before their discovery. This suggests that latent knowledge regarding future discoveries is to a large extent embedded in past publications. Our findings highlight the possibility of extracting knowledge and relationships from the massive body of scientific literature in a collective manner, and point towards a generalized approach to the mining of scientific literature.",TOTAL-ENERGY CALCULATIONS; THERMAL-CONDUCTIVITY; EFFICIENCY,16,AI Fundamental Research,69,Natural Language Processing and Knowledge Graphs,unsupervised word embeddings; vector representations of words; structure-property relationships; unsupervised method; materials science concepts; information-dense word embeddings,6,,unsupervised word embeddings,,,unsupervised word embeddings
6699,2016,ENGINEERING,A multiobjective weighted voting ensemble classifier based on differential evolution algorithm for text sentiment classification,"Typically performed by supervised machine learning algorithms, sentiment analysis is highly useful for extracting subjective information from text documents online. Most approaches that use ensemble learning paradigms toward sentiment analysis involve feature engineering in order to enhance the predictive performance. In response, we sought to develop a paradigm of a multiobjective, optimization-based weighted voting scheme to assign appropriate weight values to classifiers and each output class based on the predictive performance of classification algorithms, all to enhance the predictive performance of sentiment classification. The proposed ensemble method is based on static classifier selection involving majority voting error and forward search, as well as a multiobjective differential evolution algorithm. Based on the static classifier selection scheme, our proposed ensemble method incorporates Bayesian logistic regression, naive Bayes, linear discriminant analysis, logistic regression, and support vector machines as base learners, whose performance in terms of precision and recall values determines weight adjustment. Our experimental analysis of classification tasks, including sentiment analysis, software defect prediction, credit risk modeling, spam filtering, and semantic mapping, suggests that the proposed classification scheme can predict better than conventional ensemble learning methods such as AdaBoost, bagging, random subspace, and majority voting. Of all datasets examined, the laptop dataset showed the best classification accuracy (98.86%). (C) 2016 Elsevier Ltd. All rights reserved.",Sentiment analysis; Ensemble learning; Weighted majority voting; Multiobjective optimization; GENETIC ALGORITHM; OPTIMIZATION; SELECTION; RECOGNITION; PREDICTION; FRAMEWORK; MACHINE,16,AI Fundamental Research,69,Natural Language Processing and Knowledge Graphs,multiobjective weighted voting ensemble classifier; differential evolution algorithm; text sentiment classification; supervised machine learning algorithms; ensemble learning paradigms; feature engineering; multiobjective optimization-based weighted voting scheme; static classifier selection; majority voting error; forward search; Bayesian logistic regression; naive Bayes; linear discriminant analysis; logistic regression; support vector machines; AdaBoost; bagging; random subspace; majority voting,19,,multiobjective weighted voting ensemble classifier;majority voting error; forward search,multiobjective weighted voting ensemble classifier; differential evolution algorithm; feature engineering; multiobjective optimization-based weighted voting scheme; majority voting,differential evolution algorithm; feature engineering,multiobjective weighted voting ensemble classifier; forward search; majority voting error; differential evolution algorithm; feature engineering
